Date,Number of patients
25/06/2017,50
26/06/2017,43
27/06/2017,40
28/06/2017,27
29/06/2017,49
30/06/2017,46
01/07/2017,44
02/07/2017,36
03/07/2017,39
04/07/2017,30
05/07/2017,45
06/07/2017,55
07/07/2017,39
08/07/2017,45
09/07/2017,44
10/07/2017,34
11/07/2017,40
12/07/2017,30
13/07/2017,42
14/07/2017,43
15/07/2017,43
16/07/2017,39
17/07/2017,46
18/07/2017,22
19/07/2017,39
20/07/2017,45
21/07/2017,49
22/07/2017,26
23/07/2017,34
24/07/2017,47
25/07/2017,32
26/07/2017,25
27/07/2017,50
28/07/2017,44
29/07/2017,38
30/07/2017,42
31/07/2017,34
01/08/2017,33
02/08/2017,33
03/08/2017,31
04/08/2017,38
05/08/2017,33
06/08/2017,35
07/08/2017,38
08/08/2017,33
09/08/2017,30
10/08/2017,46
11/08/2017,41
12/08/2017,43
13/08/2017,30
14/08/2017,42
15/08/2017,33
16/08/2017,33
17/08/2017,44
18/08/2017,37
19/08/2017,41
20/08/2017,46
21/08/2017,45
22/08/2017,35
23/08/2017,42
24/08/2017,45
25/08/2017,35
26/08/2017,55
27/08/2017,37
28/08/2017,46
29/08/2017,34
30/08/2017,26
31/08/2017,48
01/09/2017,45
02/09/2017,42
03/09/2017,37
04/09/2017,40
05/09/2017,27
06/09/2017,32
07/09/2017,35
08/09/2017,40
09/09/2017,36
10/09/2017,36
11/09/2017,43
12/09/2017,38
13/09/2017,23
14/09/2017,40
15/09/2017,34
16/09/2017,43
17/09/2017,49
18/09/2017,47
19/09/2017,31
20/09/2017,43
21/09/2017,44
22/09/2017,44
23/09/2017,43
24/09/2017,39
25/09/2017,35
26/09/2017,33
27/09/2017,39
28/09/2017,47
29/09/2017,50
30/09/2017,29
01/10/2017,40
02/10/2017,37
03/10/2017,30
04/10/2017,26
05/10/2017,41
06/10/2017,40
07/10/2017,40
08/10/2017,38
09/10/2017,55
10/10/2017,33
11/10/2017,29
12/10/2017,58
13/10/2017,55
14/10/2017,52
15/10/2017,48
16/10/2017,58
17/10/2017,40
